TourId iBest gBest time(ms)
0 796.3586170636 796.3586170636 21
1 763.9181315506 763.9181315506 20
2 774.4206997267 763.9181315506 21
3 805.1807141987 763.9181315506 22
4 816.0681845259 763.9181315506 20
5 857.9936914938 763.9181315506 21
6 841.5784095478 763.9181315506 20
7 777.8629529653 763.9181315506 20
8 789.5467342696 763.9181315506 22
9 825.8153424852 763.9181315506 21
10 790.8236743248 763.9181315506 20
11 808.7155657952 763.9181315506 21
12 755.7285481820 755.7285481820 19
13 809.5153794351 755.7285481820 21
14 804.9912324364 755.7285481820 20
15 804.3672516144 755.7285481820 20
16 782.8166223846 755.7285481820 20
17 793.8876055779 755.7285481820 20
18 856.9790891302 755.7285481820 20
19 845.6683084858 755.7285481820 20
20 765.6447123183 755.7285481820 19
21 852.7869109958 755.7285481820 22
22 838.1434319960 755.7285481820 19
23 799.1273894639 755.7285481820 19
24 731.4105868944 731.4105868944 20
25 778.6795066705 731.4105868944 20
26 827.0737917893 731.4105868944 20
27 818.8493945369 731.4105868944 20
28 797.7577291091 731.4105868944 20
29 839.5745880415 731.4105868944 19
30 789.6751858681 731.4105868944 20
31 823.5350210379 731.4105868944 21
32 759.3510539646 731.4105868944 20
33 840.3974434035 731.4105868944 20
34 805.0483792222 731.4105868944 20
35 795.4408761417 731.4105868944 20
36 843.6996509409 731.4105868944 20
37 785.4063422870 731.4105868944 19
38 832.8854215047 731.4105868944 20
39 791.0847099200 731.4105868944 20
40 784.0551515286 731.4105868944 20
41 796.1925435830 731.4105868944 20
42 836.2109518413 731.4105868944 19
43 826.3793399348 731.4105868944 20
44 830.9588567658 731.4105868944 20
45 795.5648042275 731.4105868944 19
46 788.4345287037 731.4105868944 20
47 776.6279825766 731.4105868944 20
48 767.3901609061 731.4105868944 20
49 807.7983639170 731.4105868944 19
50 812.5665438571 731.4105868944 20
51 828.8479981853 731.4105868944 20
52 819.6155086202 731.4105868944 22
53 876.0434841562 731.4105868944 20
54 845.3859322449 731.4105868944 20
55 823.7326734201 731.4105868944 21
56 813.4401593950 731.4105868944 21
57 757.3402588988 731.4105868944 20
58 771.6858604823 731.4105868944 20
59 791.0635616176 731.4105868944 20
60 796.8123145491 731.4105868944 21
61 828.3913938837 731.4105868944 21
62 844.7195640263 731.4105868944 20
63 798.9481285260 731.4105868944 19
64 770.1402746115 731.4105868944 20
65 816.6931959267 731.4105868944 20
66 755.3118859977 731.4105868944 20
67 786.6960301317 731.4105868944 20
68 781.7556141055 731.4105868944 19
69 778.4713676339 731.4105868944 19
70 784.6747396364 731.4105868944 21
71 741.1908160824 731.4105868944 20
72 758.4912702834 731.4105868944 21
73 743.9143839936 731.4105868944 20
74 750.9599899082 731.4105868944 21
75 742.7859815472 731.4105868944 20
76 826.3703772998 731.4105868944 20
77 839.0518607677 731.4105868944 20
