TourId iBest gBest time(ms)
0 829.4350885197 829.4350885197 20
1 833.1507449561 829.4350885197 20
2 783.8080670389 783.8080670389 21
3 801.1424219637 783.8080670389 20
4 781.5232330543 781.5232330543 20
5 780.0945567634 780.0945567634 21
6 847.8187230394 780.0945567634 19
7 817.7918648229 780.0945567634 20
8 855.3492883220 780.0945567634 20
9 743.1511372689 743.1511372689 20
10 863.8734055104 743.1511372689 20
11 826.7803097223 743.1511372689 19
12 805.0223102807 743.1511372689 20
13 851.9838978949 743.1511372689 20
14 846.2105295647 743.1511372689 20
15 795.1416952864 743.1511372689 19
16 853.2617598973 743.1511372689 19
17 749.4194553961 743.1511372689 20
18 808.2733122080 743.1511372689 20
19 782.6508412070 743.1511372689 20
20 783.6399339197 743.1511372689 19
21 758.0092135167 743.1511372689 20
22 785.0152324889 743.1511372689 19
23 799.2128214023 743.1511372689 19
24 797.7755566753 743.1511372689 20
25 813.1725375020 743.1511372689 20
26 729.0191907614 729.0191907614 20
27 857.9427592436 729.0191907614 19
28 833.5975445289 729.0191907614 20
29 786.5109419656 729.0191907614 20
30 808.9550252248 729.0191907614 19
31 780.2691662014 729.0191907614 20
32 842.8683804120 729.0191907614 20
33 823.2809289459 729.0191907614 20
34 801.9372438451 729.0191907614 19
35 784.0688654538 729.0191907614 20
36 818.4441096223 729.0191907614 20
37 785.7694120596 729.0191907614 19
38 820.9466692832 729.0191907614 21
39 824.9536295753 729.0191907614 19
40 798.1661313333 729.0191907614 19
41 837.2742481578 729.0191907614 20
42 786.9199109709 729.0191907614 21
43 812.2689187202 729.0191907614 20
44 836.5094830443 729.0191907614 20
45 763.7528086545 729.0191907614 20
46 822.5095011823 729.0191907614 20
47 838.1858145789 729.0191907614 19
48 816.8953758467 729.0191907614 20
49 834.2522186930 729.0191907614 21
50 800.9457894666 729.0191907614 20
51 815.5616444508 729.0191907614 21
52 838.3329649982 729.0191907614 20
53 810.8327673494 729.0191907614 20
54 788.1371988452 729.0191907614 20
55 804.9842538413 729.0191907614 20
56 733.7287874141 729.0191907614 21
57 784.6917378468 729.0191907614 20
58 799.2442201722 729.0191907614 19
59 721.5404168191 721.5404168191 20
60 809.9746587370 721.5404168191 19
61 806.2487238807 721.5404168191 20
62 799.9941132834 721.5404168191 20
63 800.4778561670 721.5404168191 20
64 753.4661796012 721.5404168191 19
65 801.9886575983 721.5404168191 20
66 810.0190978481 721.5404168191 20
67 846.6520292499 721.5404168191 20
68 801.7860134651 721.5404168191 19
69 820.3516430550 721.5404168191 21
70 806.0912849676 721.5404168191 20
71 817.0866315664 721.5404168191 20
72 808.1078846111 721.5404168191 19
73 773.9819453187 721.5404168191 21
74 840.9929946468 721.5404168191 20
75 793.4353677701 721.5404168191 19
76 791.1667486577 721.5404168191 20
77 766.1106627700 721.5404168191 19
78 801.3787467970 721.5404168191 20
79 787.6563362596 721.5404168191 20
80 765.0712951132 721.5404168191 19
81 756.2443002994 721.5404168191 22
82 761.7921047262 721.5404168191 19
83 834.7179396457 721.5404168191 20
