TourId iBest gBest time(ms)
0 1541.3418463425 1541.3418463425 65
1 1532.5720625338 1532.5720625338 65
2 1532.6878096149 1532.5720625338 65
3 1448.3540566863 1448.3540566863 64
4 1520.1525170497 1448.3540566863 64
5 1558.9146799383 1448.3540566863 63
6 1561.2944631828 1448.3540566863 64
7 1513.2658951313 1448.3540566863 62
8 1469.8881800949 1448.3540566863 65
9 1515.5137891217 1448.3540566863 64
10 1561.2217672557 1448.3540566863 64
11 1505.7180066178 1448.3540566863 63
12 1525.4016293728 1448.3540566863 74
13 1518.0982842322 1448.3540566863 66
14 1545.3591683327 1448.3540566863 66
15 1586.3556965374 1448.3540566863 65
16 1582.4372398366 1448.3540566863 64
17 1512.1146545503 1448.3540566863 65
18 1478.2531083830 1448.3540566863 64
19 1550.5808422926 1448.3540566863 63
20 1520.7366551868 1448.3540566863 63
21 1488.0887797772 1448.3540566863 63
22 1563.4952418938 1448.3540566863 64
23 1372.0785356481 1372.0785356481 64
24 1437.3259668060 1372.0785356481 64
25 1542.8199858720 1372.0785356481 64
26 1455.9113823570 1372.0785356481 64
27 1557.3096333357 1372.0785356481 64
28 1643.5139622194 1372.0785356481 64
29 1523.3131325567 1372.0785356481 63
30 1490.9659734512 1372.0785356481 64
31 1612.4019853043 1372.0785356481 63
32 1616.0421643984 1372.0785356481 63
33 1547.3251082435 1372.0785356481 67
34 1540.2764952476 1372.0785356481 63
35 1569.3624944677 1372.0785356481 64
36 1561.3675500731 1372.0785356481 70
37 1507.6287112740 1372.0785356481 68
38 1587.6257186437 1372.0785356481 66
39 1496.3482718634 1372.0785356481 65
40 1382.3386945746 1372.0785356481 64
41 1523.4391960776 1372.0785356481 64
42 1438.5946233352 1372.0785356481 63
43 1566.1078003035 1372.0785356481 63
44 1595.5936604041 1372.0785356481 65
45 1467.4567108787 1372.0785356481 66
46 1584.8019987970 1372.0785356481 66
47 1444.0311939106 1372.0785356481 64
48 1517.2386880660 1372.0785356481 63
49 1529.5890309051 1372.0785356481 64
50 1457.2320438171 1372.0785356481 64
51 1442.9816421748 1372.0785356481 64
52 1494.0470826985 1372.0785356481 64
53 1597.6965140770 1372.0785356481 64
54 1488.4196730212 1372.0785356481 63
55 1493.4104210637 1372.0785356481 63
56 1570.7155948235 1372.0785356481 64
57 1562.1141746119 1372.0785356481 63
58 1426.3177610257 1372.0785356481 64
59 1485.8747080206 1372.0785356481 64
60 1531.7009938644 1372.0785356481 63
61 1491.8048410641 1372.0785356481 64
62 1595.6221059694 1372.0785356481 63
63 1580.2318415240 1372.0785356481 64
64 1542.6394969797 1372.0785356481 63
65 1464.1029188911 1372.0785356481 64
66 1555.8958243118 1372.0785356481 63
67 1490.7183321583 1372.0785356481 63
68 1496.2444064912 1372.0785356481 64
69 1503.3706501522 1372.0785356481 63
70 1407.1793291729 1372.0785356481 63
71 1472.7672976759 1372.0785356481 63
72 1550.6074768111 1372.0785356481 64
73 1589.4208312954 1372.0785356481 63
74 1478.8168058134 1372.0785356481 64
75 1534.1158317860 1372.0785356481 63
76 1597.1576905626 1372.0785356481 64
77 1505.9201414504 1372.0785356481 62
78 1486.1809189977 1372.0785356481 63
79 1474.3111365511 1372.0785356481 63
80 1531.2951305528 1372.0785356481 63
81 1533.8968757515 1372.0785356481 63
82 1448.1158174781 1372.0785356481 63
83 1368.6955223517 1368.6955223517 64
84 1553.3698051321 1368.6955223517 64
85 1396.3228335976 1368.6955223517 63
86 1491.9599994159 1368.6955223517 64
87 1560.9338662119 1368.6955223517 64
88 1415.8839352512 1368.6955223517 64
89 1464.7781353282 1368.6955223517 64
90 1576.2315621311 1368.6955223517 64
91 1536.9576169426 1368.6955223517 63
92 1426.7802834460 1368.6955223517 63
93 1485.0458027475 1368.6955223517 64
94 1364.4228209620 1364.4228209620 63
95 1495.3880299745 1364.4228209620 64
96 1545.7431688059 1364.4228209620 64
97 1515.7188932673 1364.4228209620 62
98 1476.6498667229 1364.4228209620 64
99 1452.7493045826 1364.4228209620 63
100 1551.2942435942 1364.4228209620 64
101 1537.6706440393 1364.4228209620 63
102 1507.6853766177 1364.4228209620 62
103 1505.1758146884 1364.4228209620 62
104 1464.8927013488 1364.4228209620 65
105 1514.3053149147 1364.4228209620 64
106 1451.3980532247 1364.4228209620 63
107 1514.0194849198 1364.4228209620 64
108 1440.0615262799 1364.4228209620 63
109 1350.9635238210 1350.9635238210 62
110 1466.2375994942 1350.9635238210 64
111 1479.3350512539 1350.9635238210 63
112 1511.1309133515 1350.9635238210 63
113 1511.0313054034 1350.9635238210 62
114 1508.5863368839 1350.9635238210 64
115 1427.5125952781 1350.9635238210 63
116 1489.7258329138 1350.9635238210 63
117 1482.3481750437 1350.9635238210 63
118 1485.8920980599 1350.9635238210 63
119 1458.3498342746 1350.9635238210 64
120 1548.9153572934 1350.9635238210 64
121 1511.8440569022 1350.9635238210 63
122 1501.3419621060 1350.9635238210 64
123 1498.7619499463 1350.9635238210 63
124 1436.7021676601 1350.9635238210 63
125 1478.3813379397 1350.9635238210 64
126 1524.9061968998 1350.9635238210 65
127 1467.9935852802 1350.9635238210 63
128 1532.7484658753 1350.9635238210 64
129 1512.0375282960 1350.9635238210 63
130 1437.3537600719 1350.9635238210 63
131 1375.7542663905 1350.9635238210 64
132 1412.5241222041 1350.9635238210 63
133 1498.4176398744 1350.9635238210 64
134 1430.7625187360 1350.9635238210 63
135 1508.9319785272 1350.9635238210 64
136 1455.8796939945 1350.9635238210 64
137 1417.4657757097 1350.9635238210 63
138 1496.1269065364 1350.9635238210 64
139 1485.7378466815 1350.9635238210 66
140 1408.2926032900 1350.9635238210 64
141 1538.4961368582 1350.9635238210 64
142 1452.9578627508 1350.9635238210 64
143 1363.6377313607 1350.9635238210 64
144 1451.9887342744 1350.9635238210 63
145 1429.8143598333 1350.9635238210 64
146 1462.0416813071 1350.9635238210 64
147 1543.9270793798 1350.9635238210 64
148 1410.8176309852 1350.9635238210 63
149 1383.1923283224 1350.9635238210 64
150 1424.5883358657 1350.9635238210 63
151 1511.8128073982 1350.9635238210 64
152 1494.8116548799 1350.9635238210 64
153 1431.0126014305 1350.9635238210 64
154 1501.0746655180 1350.9635238210 64
155 1384.9043278008 1350.9635238210 64
156 1483.7729685390 1350.9635238210 63
157 1471.2533018108 1350.9635238210 70
158 1456.5779287965 1350.9635238210 65
159 1506.1333001575 1350.9635238210 64
160 1506.2044646602 1350.9635238210 64
161 1431.3748962197 1350.9635238210 64
162 1483.4946654093 1350.9635238210 66
163 1496.5892513999 1350.9635238210 64
164 1415.1371288898 1350.9635238210 66
165 1450.7167005018 1350.9635238210 64
166 1462.9083629047 1350.9635238210 64
167 1468.4344432698 1350.9635238210 64
168 1447.1140483181 1350.9635238210 64
169 1512.9518571606 1350.9635238210 65
170 1357.7745376330 1350.9635238210 63
171 1475.5685076235 1350.9635238210 64
172 1433.8153739172 1350.9635238210 64
173 1439.6224284535 1350.9635238210 64
174 1417.0198364302 1350.9635238210 64
175 1506.0726150402 1350.9635238210 63
176 1496.2368743056 1350.9635238210 63
177 1430.7640513021 1350.9635238210 70
178 1404.5804929741 1350.9635238210 66
179 1410.7339723909 1350.9635238210 65
180 1473.8028763584 1350.9635238210 64
181 1444.5104743154 1350.9635238210 64
182 1417.5681216920 1350.9635238210 64
183 1361.9676842400 1350.9635238210 64
184 1386.2659644697 1350.9635238210 67
185 1496.4443219088 1350.9635238210 67
186 1327.3475630834 1327.3475630834 67
187 1451.5515136913 1327.3475630834 66
188 1454.9087748444 1327.3475630834 66
189 1378.3529763552 1327.3475630834 66
190 1403.2777332509 1327.3475630834 65
191 1392.3948983621 1327.3475630834 64
192 1431.1589396019 1327.3475630834 74
193 1379.8093908815 1327.3475630834 67
194 1470.8501459867 1327.3475630834 68
195 1339.8569767731 1327.3475630834 65
196 1442.0782971745 1327.3475630834 66
197 1450.6554324904 1327.3475630834 64
198 1371.1429898820 1327.3475630834 64
199 1492.1179886239 1327.3475630834 65
200 1461.3163103282 1327.3475630834 66
201 1435.9512201601 1327.3475630834 65
202 1447.7257018569 1327.3475630834 67
203 1433.6147372809 1327.3475630834 72
204 1382.4767728351 1327.3475630834 65
205 1392.3320494607 1327.3475630834 66
206 1428.2842961263 1327.3475630834 65
207 1378.5344556972 1327.3475630834 64
208 1411.5388129418 1327.3475630834 64
209 1332.9986774421 1327.3475630834 62
210 1444.6522305861 1327.3475630834 63
211 1360.6635637413 1327.3475630834 63
212 1412.8697934651 1327.3475630834 63
213 1487.8846063943 1327.3475630834 64
214 1369.2519036350 1327.3475630834 63
215 1397.8734595218 1327.3475630834 62
216 1406.4990759634 1327.3475630834 64
217 1393.9720985468 1327.3475630834 63
218 1411.2566139518 1327.3475630834 64
219 1474.0958142937 1327.3475630834 64
220 1502.3952016408 1327.3475630834 63
221 1335.2148114745 1327.3475630834 64
222 1394.3684126370 1327.3475630834 67
223 1449.4303639771 1327.3475630834 67
224 1423.9135763729 1327.3475630834 66
225 1403.3059482644 1327.3475630834 65
226 1516.8857093168 1327.3475630834 66
227 1396.5332513916 1327.3475630834 65
228 1459.2052393669 1327.3475630834 64
229 1432.3316290301 1327.3475630834 65
230 1423.9556430642 1327.3475630834 63
231 1461.3178548546 1327.3475630834 64
232 1397.7437965151 1327.3475630834 63
233 1449.4481347896 1327.3475630834 65
234 1418.4466477678 1327.3475630834 65
235 1371.7651522515 1327.3475630834 66
236 1431.1479993189 1327.3475630834 64
237 1419.1049971602 1327.3475630834 63
238 1431.0589517358 1327.3475630834 64
239 1405.7602809452 1327.3475630834 64
240 1421.8028007080 1327.3475630834 65
241 1355.7051502833 1327.3475630834 63
242 1445.1721170234 1327.3475630834 63
243 1462.2126052078 1327.3475630834 62
244 1394.2248679896 1327.3475630834 65
245 1489.3783160590 1327.3475630834 63
246 1408.3722304305 1327.3475630834 63
247 1379.8343444649 1327.3475630834 63
248 1398.1185780499 1327.3475630834 63
249 1398.8529146858 1327.3475630834 62
250 1379.2970363295 1327.3475630834 63
251 1334.3997016113 1327.3475630834 63
252 1378.2677398936 1327.3475630834 64
253 1360.4354723243 1327.3475630834 62
254 1376.1069638254 1327.3475630834 64
255 1406.7023618937 1327.3475630834 62
256 1371.0627653553 1327.3475630834 63
257 1350.9265132983 1327.3475630834 64
258 1382.0630902279 1327.3475630834 63
259 1392.5195470373 1327.3475630834 63
260 1404.1409257132 1327.3475630834 64
261 1469.8097257091 1327.3475630834 62
262 1425.1428318286 1327.3475630834 64
263 1404.9603437723 1327.3475630834 65
264 1473.9647412978 1327.3475630834 65
265 1432.0505970785 1327.3475630834 64
266 1372.9279585056 1327.3475630834 66
267 1266.2680172808 1266.2680172808 65
268 1365.7971303773 1266.2680172808 66
269 1422.5755259609 1266.2680172808 66
270 1344.3480922430 1266.2680172808 65
271 1389.0907796588 1266.2680172808 66
272 1347.9147069463 1266.2680172808 64
273 1380.7854187424 1266.2680172808 63
274 1423.2246513828 1266.2680172808 65
275 1386.3945744492 1266.2680172808 65
276 1309.1208160894 1266.2680172808 64
277 1379.5832585586 1266.2680172808 65
278 1400.5637700652 1266.2680172808 64
279 1401.6764480553 1266.2680172808 67
280 1417.9735944686 1266.2680172808 64
281 1410.8433139158 1266.2680172808 64
282 1364.9362275650 1266.2680172808 65
283 1325.4374078283 1266.2680172808 63
284 1368.6285269147 1266.2680172808 65
285 1373.2437264333 1266.2680172808 63
286 1467.2085009456 1266.2680172808 64
287 1393.2096819878 1266.2680172808 64
288 1334.3148453846 1266.2680172808 64
289 1335.3284174501 1266.2680172808 64
290 1390.5003826225 1266.2680172808 65
291 1383.9857730491 1266.2680172808 64
292 1382.6427506781 1266.2680172808 63
293 1465.7276260731 1266.2680172808 64
294 1361.2476400020 1266.2680172808 65
295 1330.0211561937 1266.2680172808 64
296 1373.9379644575 1266.2680172808 64
297 1345.6141840213 1266.2680172808 63
298 1368.4165912928 1266.2680172808 67
299 1305.7597913889 1266.2680172808 64
300 1412.7968134529 1266.2680172808 65
301 1346.6965629418 1266.2680172808 65
302 1390.8517406683 1266.2680172808 64
303 1409.2640162096 1266.2680172808 63
304 1363.4168302776 1266.2680172808 64
305 1418.9873823660 1266.2680172808 63
306 1370.0279095606 1266.2680172808 64
307 1436.4404516257 1266.2680172808 63
308 1412.0355181985 1266.2680172808 64
309 1367.5210325320 1266.2680172808 64
310 1377.8736072141 1266.2680172808 63
311 1366.0559172853 1266.2680172808 66
312 1334.6663677015 1266.2680172808 66
313 1371.0054302572 1266.2680172808 63
314 1451.2735624525 1266.2680172808 63
315 1290.8098771152 1266.2680172808 64
316 1314.7217487780 1266.2680172808 63
317 1456.9544448354 1266.2680172808 64
318 1433.9673308647 1266.2680172808 64
319 1361.3841154567 1266.2680172808 63
320 1426.7360947853 1266.2680172808 63
321 1375.4750648434 1266.2680172808 64
322 1357.0982698748 1266.2680172808 64
323 1344.6411794893 1266.2680172808 63
324 1397.8954721617 1266.2680172808 63
325 1429.0926145968 1266.2680172808 63
326 1357.9759160816 1266.2680172808 64
327 1358.3105427482 1266.2680172808 72
328 1388.0286461009 1266.2680172808 73
329 1385.5389386502 1266.2680172808 63
330 1382.0081530070 1266.2680172808 63
331 1393.2298907057 1266.2680172808 64
332 1361.4929001253 1266.2680172808 65
333 1348.9756565549 1266.2680172808 66
334 1345.0803427632 1266.2680172808 65
335 1339.8498060558 1266.2680172808 64
336 1371.1827381217 1266.2680172808 62
337 1392.4421884491 1266.2680172808 63
338 1365.6408237376 1266.2680172808 64
339 1367.7680768639 1266.2680172808 64
340 1381.1573964652 1266.2680172808 63
341 1363.8990574472 1266.2680172808 63
342 1345.6080467727 1266.2680172808 62
343 1350.1232349363 1266.2680172808 63
344 1322.8282634611 1266.2680172808 63
345 1420.5439117578 1266.2680172808 64
346 1336.7841113384 1266.2680172808 64
347 1310.6988780752 1266.2680172808 64
348 1517.9605795423 1266.2680172808 63
