TourId iBest gBest time(ms)
0 1513.6215252539 1513.6215252539 66
1 1502.2174095081 1502.2174095081 65
2 1535.3027366134 1502.2174095081 64
3 1536.7879127070 1502.2174095081 63
4 1480.7288984254 1480.7288984254 63
5 1554.9452361563 1480.7288984254 62
6 1546.0776024830 1480.7288984254 63
7 1573.8060945503 1480.7288984254 63
8 1474.8035826467 1474.8035826467 63
9 1520.5879772741 1474.8035826467 64
10 1612.9860721250 1474.8035826467 63
11 1516.2170870802 1474.8035826467 63
12 1544.4582501687 1474.8035826467 64
13 1545.2816833663 1474.8035826467 64
14 1567.6191042415 1474.8035826467 65
15 1493.5361793157 1474.8035826467 66
16 1486.6452239022 1474.8035826467 64
17 1470.9826973881 1470.9826973881 62
18 1463.5167957923 1463.5167957923 63
19 1493.2042421755 1463.5167957923 64
20 1626.4486011604 1463.5167957923 64
21 1562.7559167177 1463.5167957923 63
22 1522.0944760373 1463.5167957923 64
23 1532.9227738017 1463.5167957923 61
24 1450.3153248900 1450.3153248900 63
25 1498.5793279740 1450.3153248900 63
26 1592.3002459288 1450.3153248900 64
27 1536.1954707319 1450.3153248900 63
28 1471.8359388685 1450.3153248900 62
29 1643.3855945466 1450.3153248900 63
30 1611.3444028923 1450.3153248900 64
31 1451.4633027300 1450.3153248900 67
32 1582.1465726157 1450.3153248900 63
33 1480.9408118729 1450.3153248900 64
34 1526.5444072900 1450.3153248900 64
35 1456.2423834825 1450.3153248900 63
36 1599.9973203005 1450.3153248900 63
37 1528.7243743785 1450.3153248900 63
38 1412.5607189245 1412.5607189245 64
39 1530.9876777758 1412.5607189245 64
40 1553.8652602106 1412.5607189245 63
41 1559.5124909445 1412.5607189245 64
42 1490.0209951488 1412.5607189245 63
43 1384.1880992162 1384.1880992162 64
44 1495.6563478854 1384.1880992162 64
45 1474.4000404199 1384.1880992162 64
46 1527.5552208287 1384.1880992162 65
47 1534.9695203395 1384.1880992162 64
48 1457.2299665628 1384.1880992162 63
49 1598.4715242192 1384.1880992162 63
50 1463.1299169779 1384.1880992162 64
51 1531.9635740737 1384.1880992162 64
52 1499.9738465876 1384.1880992162 63
53 1438.8722991049 1384.1880992162 63
54 1484.7423217733 1384.1880992162 62
55 1491.3743698726 1384.1880992162 64
56 1507.8427379357 1384.1880992162 63
57 1405.1658667028 1384.1880992162 63
58 1409.1310653661 1384.1880992162 63
59 1499.8198239520 1384.1880992162 63
60 1575.6440626789 1384.1880992162 63
61 1433.7585351938 1384.1880992162 63
62 1427.1362455559 1384.1880992162 63
63 1503.4605925076 1384.1880992162 63
64 1449.6241610654 1384.1880992162 63
65 1545.7069541639 1384.1880992162 63
66 1480.8801643064 1384.1880992162 62
67 1456.3990668530 1384.1880992162 63
68 1495.1516179623 1384.1880992162 63
69 1496.3553312254 1384.1880992162 63
70 1480.0744556651 1384.1880992162 63
71 1518.4953376289 1384.1880992162 64
72 1490.0109012094 1384.1880992162 62
73 1474.7146512464 1384.1880992162 63
74 1522.7380879831 1384.1880992162 63
75 1440.2756293862 1384.1880992162 64
76 1546.2847285239 1384.1880992162 63
77 1365.1198027886 1365.1198027886 64
78 1491.6957491333 1365.1198027886 63
79 1527.8560040361 1365.1198027886 64
80 1522.7567422986 1365.1198027886 63
81 1502.1127900674 1365.1198027886 64
82 1520.3540799228 1365.1198027886 64
83 1575.9836571751 1365.1198027886 63
84 1512.1686508754 1365.1198027886 63
85 1511.3229954859 1365.1198027886 63
86 1492.9470899238 1365.1198027886 63
87 1472.6157638351 1365.1198027886 63
88 1529.4951915239 1365.1198027886 63
89 1458.5384927615 1365.1198027886 62
90 1397.3569684083 1365.1198027886 63
91 1540.2164724084 1365.1198027886 63
92 1591.5939112587 1365.1198027886 64
93 1476.7199209053 1365.1198027886 63
94 1454.4927503237 1365.1198027886 65
95 1388.0976833347 1365.1198027886 63
96 1440.8190235602 1365.1198027886 64
97 1534.8583990984 1365.1198027886 65
98 1567.8619731846 1365.1198027886 66
99 1065.5371930181 1065.5371930181 496
100 1557.7459133596 1065.5371930181 65
101 1463.6670030301 1065.5371930181 65
102 1455.2365926137 1065.5371930181 64
103 1442.8556822199 1065.5371930181 64
104 1492.6858113106 1065.5371930181 63
105 1427.4091732841 1065.5371930181 64
106 1490.5582233178 1065.5371930181 63
107 1392.1291045866 1065.5371930181 65
108 1504.1016635793 1065.5371930181 64
109 1411.0564462567 1065.5371930181 64
110 1527.4822552047 1065.5371930181 63
111 1398.6916152502 1065.5371930181 64
112 1498.9243982994 1065.5371930181 64
113 1565.9486577002 1065.5371930181 64
114 1426.3976855778 1065.5371930181 63
115 1423.6878441684 1065.5371930181 65
116 1494.2583114163 1065.5371930181 65
117 1527.8055201932 1065.5371930181 63
118 1387.1415997889 1065.5371930181 65
119 1467.5332686846 1065.5371930181 63
120 1408.9259654370 1065.5371930181 64
121 1377.5788437501 1065.5371930181 63
122 1505.0760062278 1065.5371930181 64
123 1502.9545155319 1065.5371930181 62
124 1481.2105083843 1065.5371930181 64
125 1470.6397740877 1065.5371930181 63
126 1501.2186537797 1065.5371930181 64
127 1551.8565435202 1065.5371930181 63
128 1508.4114128211 1065.5371930181 63
129 1441.0782649685 1065.5371930181 62
130 1450.4036067228 1065.5371930181 64
131 1496.3830901915 1065.5371930181 63
132 1427.4977312569 1065.5371930181 64
133 1476.4739154293 1065.5371930181 64
134 1392.7284635134 1065.5371930181 64
135 1520.5223481109 1065.5371930181 62
136 1452.7751088414 1065.5371930181 64
137 1499.5630581900 1065.5371930181 63
138 1354.0660791163 1065.5371930181 65
139 1491.7853535161 1065.5371930181 63
140 1428.7655410716 1065.5371930181 63
141 1469.0342299813 1065.5371930181 62
142 1397.9927839224 1065.5371930181 64
143 1421.8037668990 1065.5371930181 64
144 1528.9886765980 1065.5371930181 63
145 1408.4755151168 1065.5371930181 63
146 1443.9708850293 1065.5371930181 63
147 1418.6303316002 1065.5371930181 64
148 1488.6938326253 1065.5371930181 63
149 1451.6471059553 1065.5371930181 64
150 1395.6953470590 1065.5371930181 64
151 1335.6661484169 1065.5371930181 64
152 1436.6051977711 1065.5371930181 63
153 1505.1246970806 1065.5371930181 66
154 1398.4276524389 1065.5371930181 66
155 1456.2431196620 1065.5371930181 66
156 1492.4864549213 1065.5371930181 64
157 1495.1260133203 1065.5371930181 65
158 1386.9074442669 1065.5371930181 65
159 1401.3801609473 1065.5371930181 66
160 1447.1518180715 1065.5371930181 65
161 1467.2352411785 1065.5371930181 65
162 1399.6467893440 1065.5371930181 64
163 1393.0010656819 1065.5371930181 64
164 1383.7729798692 1065.5371930181 64
165 1489.3291869138 1065.5371930181 66
166 1442.7332360144 1065.5371930181 63
167 1494.1208308426 1065.5371930181 64
168 1492.9838510955 1065.5371930181 63
169 1479.2965589652 1065.5371930181 63
170 1459.5199783290 1065.5371930181 62
171 1421.7024338960 1065.5371930181 64
172 1510.2744285372 1065.5371930181 63
173 1530.6134701378 1065.5371930181 63
174 1535.7478996875 1065.5371930181 64
175 1434.0297105770 1065.5371930181 64
176 1479.5964218705 1065.5371930181 63
177 1455.2603429189 1065.5371930181 64
178 1408.0891077989 1065.5371930181 64
179 1441.9812160963 1065.5371930181 63
180 1413.4142344516 1065.5371930181 64
181 1374.0330264147 1065.5371930181 64
182 1511.2822767813 1065.5371930181 63
183 1507.5821953530 1065.5371930181 64
184 1468.0068067836 1065.5371930181 63
185 1489.8084616774 1065.5371930181 64
186 1326.5736759757 1065.5371930181 64
187 1437.5524354094 1065.5371930181 62
188 1501.8831430398 1065.5371930181 63
189 1485.9527342496 1065.5371930181 63
190 1435.4410842250 1065.5371930181 63
191 1427.1890653669 1065.5371930181 63
192 1534.5476411520 1065.5371930181 64
193 1419.1394604714 1065.5371930181 63
194 1439.4087750369 1065.5371930181 64
195 1389.1222981037 1065.5371930181 63
196 1425.0116913103 1065.5371930181 64
197 1440.3830545320 1065.5371930181 64
198 1429.7327190626 1065.5371930181 63
199 1063.2895620197 1063.2895620197 478
200 1460.6939785098 1063.2895620197 64
201 1478.6389867466 1063.2895620197 64
202 1382.7041451052 1063.2895620197 64
203 1493.0060341657 1063.2895620197 65
204 1347.7134332325 1063.2895620197 63
205 1367.8900560344 1063.2895620197 65
206 1411.0643727574 1063.2895620197 65
207 1477.5846136720 1063.2895620197 66
208 1466.5281950524 1063.2895620197 64
209 1427.4353226578 1063.2895620197 64
