TourId iBest gBest time(ms)
0 4023.9988449011 4023.9988449011 502
1 3981.2945027973 3981.2945027973 501
2 3980.7096135673 3980.7096135673 498
3 4007.1046027822 3980.7096135673 498
4 3879.6420507641 3879.6420507641 498
5 4086.5426874095 3879.6420507641 502
6 3886.7056842913 3879.6420507641 499
7 3954.2425476670 3879.6420507641 518
8 3829.1669681568 3829.1669681568 504
9 3891.6706032099 3829.1669681568 509
10 3702.1842004674 3702.1842004674 502
11 4043.0789402893 3702.1842004674 513
12 4011.1163961486 3702.1842004674 500
13 3851.6754511203 3702.1842004674 505
14 4089.3751750891 3702.1842004674 499
15 4071.2157468560 3702.1842004674 502
16 3888.3406854350 3702.1842004674 498
17 3855.0276659324 3702.1842004674 505
18 3932.7653941008 3702.1842004674 502
19 3940.9736633976 3702.1842004674 507
20 4001.5875141938 3702.1842004674 502
21 4074.8186692356 3702.1842004674 503
22 3917.8933424850 3702.1842004674 501
23 4001.1244340790 3702.1842004674 513
24 4089.1208349377 3702.1842004674 502
25 3888.7519838640 3702.1842004674 499
26 3946.9875321381 3702.1842004674 500
27 3960.0478873726 3702.1842004674 498
28 4085.7977698401 3702.1842004674 502
29 3896.3174156830 3702.1842004674 513
30 3689.5251649508 3689.5251649508 503
31 3971.0522607926 3689.5251649508 505
32 3915.3568603201 3689.5251649508 506
33 3899.7221155411 3689.5251649508 508
34 3813.7458955859 3689.5251649508 509
35 3600.0316355745 3600.0316355745 509
36 4024.5354955894 3600.0316355745 507
37 3837.3205293762 3600.0316355745 526
38 3963.1813184361 3600.0316355745 508
39 3962.5948064421 3600.0316355745 511
40 3886.8813547676 3600.0316355745 507
41 3887.7615750054 3600.0316355745 528
42 3999.3294007455 3600.0316355745 525
43 3772.0629704912 3600.0316355745 522
44 3896.9687470418 3600.0316355745 511
45 3870.6763360445 3600.0316355745 521
46 3994.9699438855 3600.0316355745 521
47 3887.1482857930 3600.0316355745 510
48 3949.9746269750 3600.0316355745 511
49 4054.8087170318 3600.0316355745 515
50 3847.5223606673 3600.0316355745 509
51 3893.9924279840 3600.0316355745 517
52 4049.8431686383 3600.0316355745 509
53 3919.9577751937 3600.0316355745 506
54 3914.5096287708 3600.0316355745 505
55 3992.1057940223 3600.0316355745 503
56 3906.2900469167 3600.0316355745 505
57 3777.9857993350 3600.0316355745 508
58 4135.0145357998 3600.0316355745 512
59 3923.1417878983 3600.0316355745 507
60 3939.7099847762 3600.0316355745 506
61 4037.7686278786 3600.0316355745 503
62 3939.1497790117 3600.0316355745 504
63 3797.9055185496 3600.0316355745 505
64 3787.9684484067 3600.0316355745 499
65 3882.8819262435 3600.0316355745 504
66 3836.2488584312 3600.0316355745 504
67 3660.5508702114 3600.0316355745 502
68 3788.0488939641 3600.0316355745 497
69 4013.8393761247 3600.0316355745 496
70 3982.0194099542 3600.0316355745 503
71 3902.0123702704 3600.0316355745 504
72 3754.1048416152 3600.0316355745 501
73 3711.3859790447 3600.0316355745 502
74 3918.6890559186 3600.0316355745 506
75 3925.0826833477 3600.0316355745 508
76 3568.3862099698 3568.3862099698 507
77 3812.2678941455 3568.3862099698 505
78 4003.9812981806 3568.3862099698 504
79 3848.6231189626 3568.3862099698 503
80 3809.7610321670 3568.3862099698 503
81 3930.7748250699 3568.3862099698 501
82 3841.6851590659 3568.3862099698 503
83 3912.7456558112 3568.3862099698 504
84 4028.4976469049 3568.3862099698 503
85 3940.6992859858 3568.3862099698 497
86 3884.0858918936 3568.3862099698 497
87 3897.1305967503 3568.3862099698 495
88 3880.0112453257 3568.3862099698 504
89 3857.5141553533 3568.3862099698 500
90 3930.4523137915 3568.3862099698 502
91 3949.8356143648 3568.3862099698 498
92 3894.6460122041 3568.3862099698 505
93 3680.3719279151 3568.3862099698 507
94 3938.0569434132 3568.3862099698 508
95 4049.3278069503 3568.3862099698 507
96 3919.6774236618 3568.3862099698 508
97 3814.9536988361 3568.3862099698 505
98 3982.4067877265 3568.3862099698 504
99 3780.5785021369 3568.3862099698 496
100 3858.7479895584 3568.3862099698 503
101 3863.8220603140 3568.3862099698 506
102 3910.0003018116 3568.3862099698 507
103 4014.7086581989 3568.3862099698 508
104 3896.5997929271 3568.3862099698 504
105 3829.9343702432 3568.3862099698 504
106 3764.0066869146 3568.3862099698 507
107 3976.7688781007 3568.3862099698 506
108 3835.3094469983 3568.3862099698 507
109 3859.1145506882 3568.3862099698 496
110 3956.6471070782 3568.3862099698 500
111 3811.6712707255 3568.3862099698 506
112 3661.3078441484 3568.3862099698 506
113 3917.7353420000 3568.3862099698 508
114 3881.7636819048 3568.3862099698 512
115 3895.1638429340 3568.3862099698 508
116 4028.7586804411 3568.3862099698 503
117 3821.4025560768 3568.3862099698 499
118 3907.1309534068 3568.3862099698 503
119 3648.8551628675 3568.3862099698 496
120 3735.9625936758 3568.3862099698 502
121 3884.5195530279 3568.3862099698 499
122 3792.3195917179 3568.3862099698 509
123 3722.0601014766 3568.3862099698 497
124 3955.2133358738 3568.3862099698 502
125 3729.4879909309 3568.3862099698 501
126 3880.7445093686 3568.3862099698 504
127 3796.1256298371 3568.3862099698 498
128 3740.4082620244 3568.3862099698 506
129 3785.2221456507 3568.3862099698 504
130 3795.3929065006 3568.3862099698 518
131 3797.8867477193 3568.3862099698 514
132 3863.3484842553 3568.3862099698 510
133 3857.4839927418 3568.3862099698 507
134 3820.5037828061 3568.3862099698 510
135 3729.5876661387 3568.3862099698 506
136 3785.2171128050 3568.3862099698 512
137 3631.4592754044 3568.3862099698 509
138 3795.7586555763 3568.3862099698 509
139 3856.9489514857 3568.3862099698 504
140 3830.7435539741 3568.3862099698 504
141 3818.3414743295 3568.3862099698 507
142 3778.2008198922 3568.3862099698 514
143 3835.5059324782 3568.3862099698 507
144 3810.9525393850 3568.3862099698 507
145 3942.8492835954 3568.3862099698 506
146 3780.3186129051 3568.3862099698 499
147 3747.7252449890 3568.3862099698 504
148 3753.9938870476 3568.3862099698 509
149 3989.8088666855 3568.3862099698 510
150 3799.2512763292 3568.3862099698 503
151 3769.3016794053 3568.3862099698 509
152 3713.1736077686 3568.3862099698 502
153 3766.6357198264 3568.3862099698 505
154 3751.6532366146 3568.3862099698 504
155 3919.2428367742 3568.3862099698 505
156 3774.2407552180 3568.3862099698 497
157 3758.9673150716 3568.3862099698 507
158 3774.1347428769 3568.3862099698 504
159 3934.1466201023 3568.3862099698 505
160 3783.4324385373 3568.3862099698 508
161 3652.2480714608 3568.3862099698 502
162 3831.4231874207 3568.3862099698 499
163 3827.0200515979 3568.3862099698 505
164 3810.0693901560 3568.3862099698 497
165 3823.9313710281 3568.3862099698 506
166 3849.0722211702 3568.3862099698 507
167 3584.9542295903 3568.3862099698 506
168 3696.0607777667 3568.3862099698 507
169 3824.4235960362 3568.3862099698 509
170 3667.6802996658 3568.3862099698 511
171 3745.0023778309 3568.3862099698 515
172 3956.6305611863 3568.3862099698 508
173 3673.2123889079 3568.3862099698 509
174 3945.3368910341 3568.3862099698 511
175 3631.3289056114 3568.3862099698 509
176 3542.5872828900 3542.5872828900 504
177 3777.3218673394 3542.5872828900 507
178 3697.7758606762 3542.5872828900 503
179 3782.5760941520 3542.5872828900 512
180 3785.4337129279 3542.5872828900 508
181 3746.9167590628 3542.5872828900 507
182 3917.1105959430 3542.5872828900 510
183 3738.0458761035 3542.5872828900 508
184 3763.2396623242 3542.5872828900 507
185 3461.3790220220 3461.3790220220 503
186 3687.9025287818 3461.3790220220 503
187 3659.7669807421 3461.3790220220 499
188 3760.2739771549 3461.3790220220 497
189 3749.8533180225 3461.3790220220 503
190 3715.8062784780 3461.3790220220 497
191 3552.3004258120 3461.3790220220 501
192 3786.5441145677 3461.3790220220 497
193 3645.4355911713 3461.3790220220 497
194 3730.2440690197 3461.3790220220 496
195 3697.5697643298 3461.3790220220 504
196 3645.6266355838 3461.3790220220 501
197 3784.3871915150 3461.3790220220 516
198 3794.2458017576 3461.3790220220 506
199 3630.1758310327 3461.3790220220 504
200 3836.1730625760 3461.3790220220 505
201 3589.8642166524 3461.3790220220 505
202 3772.1305657245 3461.3790220220 508
203 3640.7725583970 3461.3790220220 505
204 3676.0929334436 3461.3790220220 507
205 3827.6497341460 3461.3790220220 504
206 3789.9953931036 3461.3790220220 521
207 3713.0996153686 3461.3790220220 514
208 3687.2457306384 3461.3790220220 503
209 3703.5394078657 3461.3790220220 507
210 3673.3318151232 3461.3790220220 504
211 3632.0182604148 3461.3790220220 509
212 3703.4946411566 3461.3790220220 508
213 3702.8558197522 3461.3790220220 506
214 3580.8557825728 3461.3790220220 506
215 3677.6363300680 3461.3790220220 516
216 3760.5876110137 3461.3790220220 508
217 3704.9913080228 3461.3790220220 504
218 3569.6256358422 3461.3790220220 503
219 3681.6178579340 3461.3790220220 508
220 3665.0856617240 3461.3790220220 504
221 3779.5290238471 3461.3790220220 508
222 3583.9402198068 3461.3790220220 499
223 3549.7480933851 3461.3790220220 501
224 3688.4778528870 3461.3790220220 500
225 3625.0302231056 3461.3790220220 504
226 3680.8221906463 3461.3790220220 503
227 3613.6968507211 3461.3790220220 500
228 3699.9665865809 3461.3790220220 501
229 3753.3476592642 3461.3790220220 501
230 3725.8907553840 3461.3790220220 504
231 3844.7572434371 3461.3790220220 503
232 3622.2916910344 3461.3790220220 511
233 3594.0993116081 3461.3790220220 508
234 3584.1607609373 3461.3790220220 503
235 3712.8187848208 3461.3790220220 507
236 3736.0832766766 3461.3790220220 504
237 3659.1456011582 3461.3790220220 503
238 3652.2373644639 3461.3790220220 499
239 3739.5391459262 3461.3790220220 505
240 3611.6667085618 3461.3790220220 507
241 3623.8758426863 3461.3790220220 503
242 3577.4585095974 3461.3790220220 502
243 3556.5170266322 3461.3790220220 502
244 3567.8379702072 3461.3790220220 506
245 3651.7500411614 3461.3790220220 504
246 3692.5795535129 3461.3790220220 505
247 3611.8016085533 3461.3790220220 506
248 3782.2753871442 3461.3790220220 508
249 3759.6064192890 3461.3790220220 510
250 3539.2534382086 3461.3790220220 505
251 3571.0429508667 3461.3790220220 503
252 3517.5258565490 3461.3790220220 505
253 3665.9240055803 3461.3790220220 506
254 3691.9312667595 3461.3790220220 508
255 3765.4317384446 3461.3790220220 507
256 3525.9687748080 3461.3790220220 520
257 3554.2317246148 3461.3790220220 516
258 3785.2994658556 3461.3790220220 514
259 3670.8585428231 3461.3790220220 513
260 3403.7740509932 3403.7740509932 517
261 3697.4140294747 3403.7740509932 512
262 3401.4427759612 3401.4427759612 506
263 3605.7598039614 3401.4427759612 506
264 3526.2723446243 3401.4427759612 501
265 3668.8429079081 3401.4427759612 500
266 3782.4166935392 3401.4427759612 507
267 3680.8527323732 3401.4427759612 498
268 3582.3265215672 3401.4427759612 503
269 3601.6027186460 3401.4427759612 499
270 3626.4866827988 3401.4427759612 496
271 3790.7713584378 3401.4427759612 498
272 3461.0768718201 3401.4427759612 502
273 3711.7784933072 3401.4427759612 496
274 3619.5032181751 3401.4427759612 503
275 3670.3724944890 3401.4427759612 498
276 3632.0870890768 3401.4427759612 500
277 3567.4217364437 3401.4427759612 497
278 3671.0672691008 3401.4427759612 502
279 3548.5138643566 3401.4427759612 502
280 3586.5804844275 3401.4427759612 503
281 3500.1205364381 3401.4427759612 499
282 3660.1044344461 3401.4427759612 498
283 3560.5664256433 3401.4427759612 499
284 3628.9537283211 3401.4427759612 503
285 3580.2094821955 3401.4427759612 499
286 3679.6130591011 3401.4427759612 502
287 3668.8176518756 3401.4427759612 498
288 3709.3283526899 3401.4427759612 499
289 3548.6491844254 3401.4427759612 494
290 3501.7968206515 3401.4427759612 500
291 3602.1672313567 3401.4427759612 497
292 3648.2491647621 3401.4427759612 498
293 3649.5490831032 3401.4427759612 497
294 3437.7949462260 3401.4427759612 499
295 3608.1014890176 3401.4427759612 497
296 3437.6509907227 3401.4427759612 502
297 3508.0071931607 3401.4427759612 497
298 3548.1828719536 3401.4427759612 500
299 3516.4554991786 3401.4427759612 495
300 3725.9465858509 3401.4427759612 498
301 3579.9280252486 3401.4427759612 501
302 3592.3552902455 3401.4427759612 501
303 3566.5842911980 3401.4427759612 498
304 3628.0775799470 3401.4427759612 504
305 3577.5879472967 3401.4427759612 496
306 3428.4068441579 3401.4427759612 502
307 3458.0622381425 3401.4427759612 495
308 3541.5404747413 3401.4427759612 503
309 3509.7873300786 3401.4427759612 496
310 3548.8044365939 3401.4427759612 500
311 3572.5274735700 3401.4427759612 497
312 3482.3528911179 3401.4427759612 500
313 3446.6983059346 3401.4427759612 496
314 3566.2845397222 3401.4427759612 501
315 3555.4508684570 3401.4427759612 500
316 3504.1289265413 3401.4427759612 502
317 3671.0412181113 3401.4427759612 500
318 3471.1794945545 3401.4427759612 498
319 3482.5544799243 3401.4427759612 495
320 3617.8518640262 3401.4427759612 501
321 3573.3329671167 3401.4427759612 494
322 3598.0170572492 3401.4427759612 500
323 3450.8897308818 3401.4427759612 496
324 3582.2071007907 3401.4427759612 497
325 3567.0490574594 3401.4427759612 499
326 3401.4548548153 3401.4427759612 503
327 3617.1005877179 3401.4427759612 500
328 3580.9454645355 3401.4427759612 500
329 3570.4148294993 3401.4427759612 497
330 3521.8460402257 3401.4427759612 501
331 3455.1208385361 3401.4427759612 495
332 3531.5866409332 3401.4427759612 498
333 3382.3987656353 3382.3987656353 497
334 3513.2988355913 3382.3987656353 499
335 3608.6212937105 3382.3987656353 495
336 3408.1759019162 3382.3987656353 498
337 3385.3519929165 3382.3987656353 497
338 3566.3840235088 3382.3987656353 498
339 3472.3457525178 3382.3987656353 496
340 3503.5260206191 3382.3987656353 499
341 3604.4730288780 3382.3987656353 496
342 3477.5208176862 3382.3987656353 498
343 3513.9892626768 3382.3987656353 493
344 3350.4553845885 3350.4553845885 499
345 3399.6875515910 3350.4553845885 499
346 3437.0355368420 3350.4553845885 501
347 3456.1257943465 3350.4553845885 498
348 3491.2621566650 3350.4553845885 499
349 3573.0273545111 3350.4553845885 497
350 3445.7578285423 3350.4553845885 501
351 3615.3812289291 3350.4553845885 500
352 3449.7197365328 3350.4553845885 501
353 3468.7836770250 3350.4553845885 496
354 3514.9336582759 3350.4553845885 499
355 3445.5164635159 3350.4553845885 497
356 3537.7300077578 3350.4553845885 500
357 3473.7495194509 3350.4553845885 495
358 3430.3786503371 3350.4553845885 499
359 3479.7149238324 3350.4553845885 496
360 3476.7307795856 3350.4553845885 495
361 3391.8786868778 3350.4553845885 495
362 3477.7281063455 3350.4553845885 497
363 3465.8618939038 3350.4553845885 497
364 3406.1815155011 3350.4553845885 501
365 3407.9737047118 3350.4553845885 497
366 3378.9497780602 3350.4553845885 499
367 3462.3459989283 3350.4553845885 500
368 3513.3112886324 3350.4553845885 506
369 3564.8185834743 3350.4553845885 506
370 3431.0506412136 3350.4553845885 502
371 3420.5088251940 3350.4553845885 502
372 3570.3505825714 3350.4553845885 503
373 3592.4256667496 3350.4553845885 499
374 3453.8984199538 3350.4553845885 505
375 3479.4353723742 3350.4553845885 506
376 3434.3296155202 3350.4553845885 501
377 3392.2340757478 3350.4553845885 505
378 3469.4593374244 3350.4553845885 505
379 3437.6302207579 3350.4553845885 505
380 3590.6234769433 3350.4553845885 510
381 3346.5972884708 3346.5972884708 506
382 3597.0849554348 3346.5972884708 499
383 3360.5413315956 3346.5972884708 500
384 3440.3361108720 3346.5972884708 507
385 3386.2141108801 3346.5972884708 498
386 3515.7276628485 3346.5972884708 500
387 3448.9021291329 3346.5972884708 498
388 3369.0648384258 3346.5972884708 500
389 3396.5330551822 3346.5972884708 495
390 3574.3645071657 3346.5972884708 499
391 3297.4196275376 3297.4196275376 497
392 3559.7453483952 3297.4196275376 502
393 3465.2357808650 3297.4196275376 499
394 3502.8845592474 3297.4196275376 499
395 3477.2729105247 3297.4196275376 499
396 3430.9166343582 3297.4196275376 499
397 3297.3401047005 3297.3401047005 495
398 3520.0663883104 3297.3401047005 500
399 3476.2995660973 3297.3401047005 497
400 3391.2097621034 3297.3401047005 502
401 3425.5566236503 3297.3401047005 495
402 3526.3346537923 3297.3401047005 501
403 3420.5463595112 3297.3401047005 517
404 3524.6462339061 3297.3401047005 507
405 3403.9783454101 3297.3401047005 503
406 3390.7243788826 3297.3401047005 504
407 3395.5126865343 3297.3401047005 500
408 3516.5244648357 3297.3401047005 500
409 3429.0445390275 3297.3401047005 502
410 3423.1460727522 3297.3401047005 504
411 3466.1028133215 3297.3401047005 499
412 3437.1049929575 3297.3401047005 499
413 3490.7346087949 3297.3401047005 498
414 3495.4906008696 3297.3401047005 497
415 3412.7493166038 3297.3401047005 497
416 3452.2838434013 3297.3401047005 503
417 3269.1463642301 3269.1463642301 496
418 3395.4651069767 3269.1463642301 502
419 3435.8651480193 3269.1463642301 497
420 3330.6698230752 3269.1463642301 496
421 3363.5184358903 3269.1463642301 497
422 3374.7994186687 3269.1463642301 500
423 3485.9916140991 3269.1463642301 499
424 3400.1788191289 3269.1463642301 503
425 3384.3480542123 3269.1463642301 497
426 3476.3006646473 3269.1463642301 502
