TourId iBest gBest time(ms)
0 3969.1349627127 3969.1349627127 505
1 4051.2730343352 3969.1349627127 505
2 3936.1373429481 3936.1373429481 514
3 3911.9764020519 3911.9764020519 503
4 3856.4934275980 3856.4934275980 505
5 3994.1929553908 3856.4934275980 505
6 3903.1568638515 3856.4934275980 496
7 3894.4179664466 3856.4934275980 497
8 4045.0083508769 3856.4934275980 500
9 4047.2593373683 3856.4934275980 497
10 3811.0733297559 3811.0733297559 501
11 4162.0957372929 3811.0733297559 514
12 4115.1663398158 3811.0733297559 499
13 4053.2682902050 3811.0733297559 495
14 4016.6842101983 3811.0733297559 500
15 4090.7619327258 3811.0733297559 497
16 3933.5672217999 3811.0733297559 503
17 3953.4878091631 3811.0733297559 501
18 3949.0596080098 3811.0733297559 498
19 3823.2895596438 3811.0733297559 495
20 3851.3850304024 3811.0733297559 497
21 3938.3114932265 3811.0733297559 496
22 4028.5724560981 3811.0733297559 499
23 4040.6711256403 3811.0733297559 501
24 3880.7314123204 3811.0733297559 496
25 3935.6955212297 3811.0733297559 495
26 4085.9982227223 3811.0733297559 500
27 4037.6483309720 3811.0733297559 498
28 4055.6977276036 3811.0733297559 498
29 3949.9346245701 3811.0733297559 500
30 4009.7470686434 3811.0733297559 500
31 3818.7808509238 3811.0733297559 498
32 4015.5950113452 3811.0733297559 501
33 3887.4173795730 3811.0733297559 497
34 3939.5729355452 3811.0733297559 499
35 4016.7213488857 3811.0733297559 499
36 3756.4632275921 3756.4632275921 501
37 4033.3971024626 3756.4632275921 497
38 3876.6592429056 3756.4632275921 501
39 4146.7286206621 3756.4632275921 496
40 3904.8144460186 3756.4632275921 506
41 4073.0135621720 3756.4632275921 497
42 4075.6100609328 3756.4632275921 501
43 3821.8484930187 3756.4632275921 495
44 3949.6706021515 3756.4632275921 501
45 3978.7249164371 3756.4632275921 504
46 3978.8702977627 3756.4632275921 504
47 3929.8069714436 3756.4632275921 498
48 4009.7987765693 3756.4632275921 498
49 3951.7158093279 3756.4632275921 496
50 3913.8866091347 3756.4632275921 500
51 4046.0217192352 3756.4632275921 496
52 3915.3293216178 3756.4632275921 500
53 3932.3045768467 3756.4632275921 497
54 3892.0958427729 3756.4632275921 498
55 3984.8493706293 3756.4632275921 495
56 3836.0719684796 3756.4632275921 501
57 3961.6182108320 3756.4632275921 496
58 3931.5564773933 3756.4632275921 500
59 3866.7133880524 3756.4632275921 496
60 3967.2879022537 3756.4632275921 501
61 3981.4566218957 3756.4632275921 497
62 3880.9162360557 3756.4632275921 500
63 4052.3409871052 3756.4632275921 498
64 3924.0899786071 3756.4632275921 500
65 3933.1515528219 3756.4632275921 498
66 3772.3541176484 3756.4632275921 498
67 3917.0362989974 3756.4632275921 494
68 4037.2092379182 3756.4632275921 501
69 3991.0848491952 3756.4632275921 497
70 3937.9069267097 3756.4632275921 500
71 4018.3472580492 3756.4632275921 497
72 3949.6028890103 3756.4632275921 502
73 3784.6497209393 3756.4632275921 496
74 3957.5506712628 3756.4632275921 500
75 3893.9020292711 3756.4632275921 497
76 3856.9581070697 3756.4632275921 500
77 3934.3637798803 3756.4632275921 497
78 3821.3707167665 3756.4632275921 502
79 4031.5898733593 3756.4632275921 495
80 3815.4646676264 3756.4632275921 503
81 3934.7886795445 3756.4632275921 495
82 3857.4172851905 3756.4632275921 500
83 3953.6597932012 3756.4632275921 495
84 3667.1198449184 3667.1198449184 500
85 3781.8814131084 3667.1198449184 496
86 3884.1985529454 3667.1198449184 500
87 3699.6842537845 3667.1198449184 496
88 3871.7263408026 3667.1198449184 501
89 3985.9009541341 3667.1198449184 497
90 3738.3592776061 3667.1198449184 497
91 3789.8092753417 3667.1198449184 494
92 3985.4783198903 3667.1198449184 501
93 3933.7936162456 3667.1198449184 496
94 3922.3939179280 3667.1198449184 499
95 3929.6806643387 3667.1198449184 496
96 3905.8824283414 3667.1198449184 500
97 3910.2643306284 3667.1198449184 495
98 3851.5024500383 3667.1198449184 499
99 2736.7922276502 2736.7922276502 5722
100 3872.2852742294 2736.7922276502 502
101 3913.8980952911 2736.7922276502 497
102 3865.5116929043 2736.7922276502 498
103 3939.2165761718 2736.7922276502 500
104 3776.5303916134 2736.7922276502 497
105 3853.8016097722 2736.7922276502 497
106 3837.6128989451 2736.7922276502 500
107 3848.7109254545 2736.7922276502 495
108 3836.0717190336 2736.7922276502 513
109 3830.1235164920 2736.7922276502 518
110 3852.1100353139 2736.7922276502 498
111 3699.6657696191 2736.7922276502 497
112 3826.7659749893 2736.7922276502 526
113 3675.5658427802 2736.7922276502 502
114 3950.5759162242 2736.7922276502 502
115 3820.5772263654 2736.7922276502 497
116 3832.0954490767 2736.7922276502 496
117 3867.7775694504 2736.7922276502 495
118 3881.0318023303 2736.7922276502 500
119 3783.9334593761 2736.7922276502 497
120 3730.1119019690 2736.7922276502 500
121 3839.7176080495 2736.7922276502 500
122 3818.3834209582 2736.7922276502 497
123 3942.1255194645 2736.7922276502 500
124 3808.4803719449 2736.7922276502 497
125 3698.2047445008 2736.7922276502 496
126 3837.4736380541 2736.7922276502 499
127 3871.1312914518 2736.7922276502 498
128 3854.4599311778 2736.7922276502 499
129 3979.3734077378 2736.7922276502 496
130 3843.8608684724 2736.7922276502 498
131 3769.3222001240 2736.7922276502 508
132 3906.1354708411 2736.7922276502 501
133 3791.1974298742 2736.7922276502 500
134 3754.0158991459 2736.7922276502 498
135 3958.4262964682 2736.7922276502 497
136 3766.9621853825 2736.7922276502 500
137 3963.9678125411 2736.7922276502 498
138 3667.2311784179 2736.7922276502 498
139 3700.2593929955 2736.7922276502 495
140 3779.0724230474 2736.7922276502 497
141 3826.8826910188 2736.7922276502 499
142 4052.9742692381 2736.7922276502 499
143 3912.8935654973 2736.7922276502 504
144 3673.3134610937 2736.7922276502 500
145 3891.3665015146 2736.7922276502 501
146 3748.9777560398 2736.7922276502 498
147 3961.7427694492 2736.7922276502 505
148 3704.4058278090 2736.7922276502 500
149 3771.6749817684 2736.7922276502 500
150 3790.1572809736 2736.7922276502 505
151 3749.6066392848 2736.7922276502 501
152 3723.5119624570 2736.7922276502 497
153 3752.3563931603 2736.7922276502 496
154 3751.5432327600 2736.7922276502 496
155 3751.9308475639 2736.7922276502 505
156 3707.4418955465 2736.7922276502 499
157 3777.7484430088 2736.7922276502 496
158 3931.4105392926 2736.7922276502 497
159 3698.1510920578 2736.7922276502 495
160 3776.5856721182 2736.7922276502 499
161 3822.4926332255 2736.7922276502 497
162 3847.5353285430 2736.7922276502 498
163 3768.4019802598 2736.7922276502 497
164 3890.5149617282 2736.7922276502 497
165 3783.5432202274 2736.7922276502 499
166 3493.5509052477 2736.7922276502 500
167 3742.0726867336 2736.7922276502 498
168 3612.1946364859 2736.7922276502 504
169 3727.8509943832 2736.7922276502 497
170 3706.2256741155 2736.7922276502 497
171 3787.4779012774 2736.7922276502 508
172 3653.5151098566 2736.7922276502 504
173 3776.9479310943 2736.7922276502 500
174 3738.6861831696 2736.7922276502 506
175 3763.3980350097 2736.7922276502 503
176 3671.5554434413 2736.7922276502 497
177 3936.0140929113 2736.7922276502 496
178 3768.1900228757 2736.7922276502 507
179 3939.4867500051 2736.7922276502 502
180 3716.1614869367 2736.7922276502 501
181 3752.3023524128 2736.7922276502 500
182 3877.0292027455 2736.7922276502 498
183 3698.0167355325 2736.7922276502 496
184 3536.3792745997 2736.7922276502 503
185 3878.3934108500 2736.7922276502 501
186 3808.5732416596 2736.7922276502 500
187 3528.8104688094 2736.7922276502 501
188 3756.8834575844 2736.7922276502 497
189 3875.4211926136 2736.7922276502 496
190 3734.1633276012 2736.7922276502 499
191 3709.4234667505 2736.7922276502 497
192 3718.5455148460 2736.7922276502 501
193 3731.5114079937 2736.7922276502 504
194 3727.7022390654 2736.7922276502 500
195 3648.3251380584 2736.7922276502 499
196 3712.5157034904 2736.7922276502 498
197 3629.2452641075 2736.7922276502 498
198 3728.7047769202 2736.7922276502 501
199 2730.6932591773 2730.6932591773 5830
200 3631.3180060916 2730.6932591773 500
201 3744.5393230003 2730.6932591773 499
202 3761.0238244375 2730.6932591773 500
203 3758.0830190555 2730.6932591773 500
204 3596.0428907493 2730.6932591773 502
205 3819.5438853939 2730.6932591773 502
206 3771.5244686780 2730.6932591773 498
207 3563.9880110586 2730.6932591773 497
208 3756.6143462316 2730.6932591773 496
209 3578.5222562763 2730.6932591773 502
210 3884.1948376864 2730.6932591773 494
211 3588.1585382648 2730.6932591773 501
212 3765.9051599191 2730.6932591773 497
213 3682.6957337839 2730.6932591773 497
214 3690.0992470520 2730.6932591773 494
215 3766.5446195771 2730.6932591773 503
216 3608.1104802449 2730.6932591773 494
217 3780.4965487731 2730.6932591773 502
218 3742.7314642053 2730.6932591773 496
219 3535.7258541474 2730.6932591773 499
220 3780.1273616454 2730.6932591773 498
221 3790.5417281231 2730.6932591773 521
222 3746.5751379227 2730.6932591773 500
223 3660.7567999637 2730.6932591773 505
224 3650.5839586734 2730.6932591773 497
225 3663.2555904445 2730.6932591773 503
226 3636.2973456897 2730.6932591773 501
227 3739.3713843814 2730.6932591773 503
228 3582.2502095968 2730.6932591773 501
229 3673.1732073407 2730.6932591773 503
230 3684.1055770175 2730.6932591773 498
231 3628.9920126857 2730.6932591773 502
232 3724.2277216959 2730.6932591773 505
233 3572.3170349899 2730.6932591773 507
234 3503.0957883637 2730.6932591773 508
235 3526.5215470572 2730.6932591773 499
236 3554.4022949278 2730.6932591773 495
237 3616.9831453494 2730.6932591773 496
238 3728.7771295988 2730.6932591773 496
239 3672.9618918384 2730.6932591773 499
240 3686.4225479768 2730.6932591773 497
241 3743.0406226383 2730.6932591773 503
242 3690.5266748524 2730.6932591773 496
243 3679.6957453628 2730.6932591773 501
244 3448.5263735721 2730.6932591773 495
245 3549.7116780411 2730.6932591773 501
246 3563.0984262040 2730.6932591773 496
247 3679.5843999601 2730.6932591773 499
248 3576.7976103449 2730.6932591773 496
249 3672.9961551866 2730.6932591773 498
250 3619.5668907031 2730.6932591773 495
251 3709.1570796102 2730.6932591773 503
252 3672.9823626200 2730.6932591773 495
253 3764.4552898999 2730.6932591773 500
254 3775.6498941434 2730.6932591773 496
255 3699.9008587145 2730.6932591773 500
256 3399.6063652245 2730.6932591773 493
257 3592.6781358866 2730.6932591773 498
258 3693.1780306068 2730.6932591773 496
259 3561.5722731278 2730.6932591773 499
260 3654.2891602656 2730.6932591773 496
261 3589.1529039340 2730.6932591773 496
262 3813.7279112101 2730.6932591773 494
263 3466.2689135596 2730.6932591773 500
264 3617.4755746005 2730.6932591773 496
265 3423.9294158835 2730.6932591773 501
266 3576.6220327275 2730.6932591773 496
267 3684.5668899206 2730.6932591773 503
268 3467.9771578071 2730.6932591773 497
269 3648.7566931213 2730.6932591773 504
270 3674.5673592243 2730.6932591773 499
271 3660.7918956122 2730.6932591773 496
272 3588.9204765865 2730.6932591773 494
273 3702.5052809742 2730.6932591773 496
274 3463.0611776858 2730.6932591773 495
275 3645.1748877904 2730.6932591773 502
276 3632.8458821177 2730.6932591773 502
277 3529.2236456448 2730.6932591773 500
278 3571.6471836453 2730.6932591773 496
279 3458.2010418597 2730.6932591773 498
280 3712.9192537194 2730.6932591773 495
281 3670.6668337379 2730.6932591773 501
282 3583.3050079791 2730.6932591773 496
283 3547.4255652766 2730.6932591773 502
284 3613.5090973820 2730.6932591773 499
285 3603.5178112755 2730.6932591773 500
286 3422.8564479198 2730.6932591773 496
287 3561.4184568016 2730.6932591773 499
288 3637.5227631797 2730.6932591773 495
289 3534.8363252197 2730.6932591773 501
290 3685.5841038597 2730.6932591773 496
291 3481.6658540084 2730.6932591773 499
292 3575.1204907197 2730.6932591773 497
293 3689.6468505474 2730.6932591773 498
294 3625.6026761057 2730.6932591773 494
295 3496.9599276875 2730.6932591773 502
296 3724.0725897018 2730.6932591773 494
297 3636.9304549985 2730.6932591773 496
298 3738.3363468577 2730.6932591773 494
299 2706.6221469260 2706.6221469260 4878
300 3589.5333120743 2706.6221469260 498
301 3682.3540925142 2706.6221469260 498
302 3733.6819255850 2706.6221469260 498
303 3549.6638259089 2706.6221469260 498
304 3725.5744497548 2706.6221469260 496
305 3379.5851286659 2706.6221469260 496
306 3702.8372036437 2706.6221469260 498
307 3666.0568906871 2706.6221469260 498
308 3557.1388570834 2706.6221469260 496
309 3564.4679382794 2706.6221469260 496
310 3556.7838792685 2706.6221469260 498
311 3609.1306311380 2706.6221469260 496
312 3511.1922702042 2706.6221469260 504
313 3443.3985541720 2706.6221469260 501
314 3549.9516475675 2706.6221469260 497
315 3569.0121533423 2706.6221469260 495
316 3650.7796572007 2706.6221469260 499
317 3401.2428325404 2706.6221469260 498
318 3623.4802341417 2706.6221469260 496
319 3528.3312715078 2706.6221469260 496
320 3713.4432412284 2706.6221469260 496
321 3611.5589325498 2706.6221469260 498
322 3464.4690403698 2706.6221469260 499
323 3624.9948641556 2706.6221469260 499
324 3605.9705572680 2706.6221469260 497
325 3473.9214283716 2706.6221469260 495
326 3571.9784000540 2706.6221469260 499
327 3574.7660748280 2706.6221469260 499
328 3382.9703998534 2706.6221469260 505
329 3418.0410931746 2706.6221469260 499
330 3579.3498691860 2706.6221469260 496
331 3491.1236533888 2706.6221469260 500
332 3472.5506352165 2706.6221469260 498
333 3634.9157435721 2706.6221469260 515
334 3432.4594035369 2706.6221469260 501
335 3544.7859881207 2706.6221469260 515
336 3522.6942463380 2706.6221469260 505
337 3458.1755913500 2706.6221469260 505
338 3553.9601144386 2706.6221469260 504
339 3653.0728610323 2706.6221469260 504
340 3545.3962209883 2706.6221469260 503
341 3400.9355391209 2706.6221469260 505
342 3347.9712906179 2706.6221469260 504
343 3573.1967009150 2706.6221469260 502
344 3558.5269454684 2706.6221469260 509
345 3472.0152566373 2706.6221469260 508
346 3490.7992654944 2706.6221469260 501
347 3617.2867239766 2706.6221469260 498
348 3629.8378956590 2706.6221469260 498
349 3241.3709712670 2706.6221469260 496
350 3533.9917934427 2706.6221469260 498
351 3503.9049490571 2706.6221469260 497
352 3465.7835577201 2706.6221469260 497
353 3523.8655141911 2706.6221469260 497
354 3583.0711119867 2706.6221469260 500
355 3548.3947205303 2706.6221469260 497
356 3556.2853370588 2706.6221469260 500
357 3449.7280762289 2706.6221469260 501
358 3515.3169519961 2706.6221469260 498
359 3474.3335425319 2706.6221469260 498
360 3595.2216783365 2706.6221469260 497
361 3441.0215237421 2706.6221469260 499
362 3423.9398998210 2706.6221469260 498
363 3537.3095590934 2706.6221469260 496
364 3459.9286886307 2706.6221469260 499
365 3454.6866261156 2706.6221469260 500
366 3368.8137592384 2706.6221469260 499
367 3488.6522559016 2706.6221469260 499
368 3612.7245844450 2706.6221469260 498
369 3599.1737005621 2706.6221469260 501
370 3356.8176593390 2706.6221469260 502
371 3448.7926703458 2706.6221469260 496
372 3538.4795344646 2706.6221469260 498
373 3455.9249522415 2706.6221469260 500
374 3421.5145249170 2706.6221469260 499
375 3586.7384657688 2706.6221469260 497
376 3588.4144412012 2706.6221469260 499
377 3398.2401743170 2706.6221469260 498
378 3349.5190568818 2706.6221469260 497
379 3458.8581592978 2706.6221469260 497
380 3564.2175973965 2706.6221469260 495
381 3494.8720386165 2706.6221469260 498
382 3414.7182767382 2706.6221469260 497
383 3534.5971856887 2706.6221469260 497
384 3356.7076263653 2706.6221469260 498
385 3428.1632956656 2706.6221469260 496
386 3475.2468590899 2706.6221469260 495
387 3328.8477721734 2706.6221469260 498
388 3471.4150074734 2706.6221469260 505
389 3358.5290719009 2706.6221469260 497
390 3402.8339276703 2706.6221469260 497
391 3423.7172196085 2706.6221469260 499
392 3573.7507520736 2706.6221469260 495
393 3445.3794425416 2706.6221469260 499
394 3431.5678391638 2706.6221469260 497
395 3437.7311058958 2706.6221469260 498
396 3417.9102222501 2706.6221469260 497
397 3286.1859123815 2706.6221469260 497
398 3580.4658543769 2706.6221469260 494
399 2690.4717684395 2690.4717684395 5373
400 3398.5624597220 2690.4717684395 496
401 3587.3618911066 2690.4717684395 500
402 3459.5832233697 2690.4717684395 498
403 3424.4013381982 2690.4717684395 500
404 3389.7699650611 2690.4717684395 497
405 3345.1450468084 2690.4717684395 497
406 3400.3155083577 2690.4717684395 495
407 3535.0962333864 2690.4717684395 499
408 3419.2031599087 2690.4717684395 495
409 3550.3249666755 2690.4717684395 501
410 3519.7569739490 2690.4717684395 493
411 3414.4072241133 2690.4717684395 498
